question,answer,id,relevant_passage_ids
Does dasatinib promote or inhibit T-cell proliferation?,Dasatinib inhibits T-cell proliferation,1650,[18395492 19016717 18619726 17962511 18413841 19066329 19056158]
What is a fibrocyte?,"Fibrocytes are bone marrow-derived progenitor cells that produce growth factors and contribute to fibrogenesis in the lungs. Fibrocytes are circulating mesenchymal precursors (CD45+, col 1+) recruited to fibrotic areas.",2647,[28658176 27435108 28211211 28915889 27388852 28386106 27709630]
Is human lysyl oxidase-like 2 a glycoprotein?,"Yes, human lysyl oxidase-like 2 is a glycoprotein.",2659,[21954900 23319596]
Which pathological condition of the heart is known as hypertrophic cardiomyopathy (HCM)?,"Hypertrophic cardiomyopathy (HCM) has been recently recognized as the most common inherited cardiovascular disorder, affecting 1 in 500 adults worldwide. HCM is characterized by myocyte hypertrophy resulting in thickening of the ventricular wall, myocyte disarray, interstitial and/or replacement fibrosis, decreased ventricular cavity volume and diastolic dysfunction. HCM is also the most common cause of sudden death in the young particularly among athletes. A large proportion of patients diagnosed with HCM have mutations in sarcomeric proteins. HCM is the most prevalent genetic disorder affecting the heart and is typically inherited in an autosomal dominant pattern. Adults with cardiomyopathy suffer SCD or adverse events such as stroke and heart failure from HCM.",97,"[25328416 25209314 22665960 25309450 25191275 25044876 21507890 25228955
 25081404 23782526]"
What condition is usually represented by the acronym SUDEP?,The acronym SUDEP refers to  Sudden Unexpected Death in Epilepsy,2123,"[16421121 25600783 19130900 25499158 25647769 27131289 23962523 24139807
 19666211 19232547 12862502 19623466 25253292 21737136 26924854 22042178
 26038597 19713869 26387918 15824334 19909334 24348119 17178458 17433051
 25323494 24236903 23099115 22191982 15129839 23109241]"
What is DENdb?,"DENdb is a centralized on-line repository of predicted enhancers derived from multiple human cell-lines. DENdb integrates enhancers predicted by five different methods generating an enriched catalogue of putative enhancers for each of the analysed cell-lines. DENdb provides information about the overlap of enhancers with DNase I hypersensitive regions, ChIP-seq regions of a number of transcription factors and transcription factor binding motifs, means to explore enhancer interactions with DNA using several chromatin interaction assays and enhancer neighbouring genes. DENdb is designed as a relational database that facilitates fast and efficient searching, browsing and visualization of information.",1935,[26342387]
What is the aim of the TRAP assay?,Telomerase enzyme activity can be detected in whole cell lysates by a polymerase chain reaction (PCR)-based method referred to as the telomeric repeat amplification protocol (TRAP).,1976,[26683936 24528514 26965413 25225832 23913300 23296661 23288413]
Which RNA polymerase transcribes enhancer RNAs?,"Analogously to mRNAs, the non-protein-encoding enhancer RNAs are synthesized by RNA Pol II and post-transcriptionally modified by addition of a 5'-cap and a 3'-poly (A) tail.",3963,"[28533025 31824865  3299107 30448228 32060325  2218723 26219400 25578728
 26319018 29378668  3031599 26864944 24599251 27662872 20393465 27662874
  2986013  3462718]"
What are the characteristics of Christianson syndrome?,"Christianson syndrome (CS) is caused by mutations in the X-linked Na(+) /H(+) exchanger 6 (NHE6). Patients present with prominent neurological, medical, and behavioral symptoms. All CS participants were nonverbal and had intellectual disability, epilepsy, and ataxia. Other neurologic symptoms included eye movement abnormalities (79%), postnatal microcephaly (92%), and magnetic resonance imaging evidence of cerebellar atrophy (33%). Regression was noted in 50%, with recurrent presentations involving loss of words and/or the ability to walk. Medical symptoms, particularly gastrointestinal symptoms, are common. Height and body mass index measures were below normal ranges in most participants. Behavioral symptoms included hyperkinetic behavior (100%), and a majority exhibited high pain threshold.",1205,"[24839169 22541666 24630051 18342287 24035762 20949524 24779060 25273398
 25044251 21932316 24285247]"
How are topologically associating domains (TAD) associated with replication timing?,Topologically associating domains and their long-range contacts are established during early G1 coincident with the establishment of the replication-timing program. Topologically associating domains are stable units of replication-timing regulation.,2289,[25995270 25409831 27312344 28977529 28348222]
Does fibronectin constitute a serum biomarker for Duchenne muscular dystrophy?,"Compared to age-matched controls, fibronectin levels in DMD patients were found to be significantly increased, whereas in patients with Becker muscular dystrophy, Bethlem myopathy, or myasthenia gravis were close to the control levels. Additionally, progressive elevation in fibronectin levels was observed in longitudinal samples from DMD patients followed up for a period of 6 months up to 4 years. Therefore, fibronectin is a serum biomarker for Duchenne muscular dystrophy.",1723,[24458521]
Can simvastatin alleviate depressive symptoms?,"Yes, simvastatin decreases depressive symptoms.",2799,[25827645]
What is the 4D nucleome project?,"The 4D Nucleome Network aims to develop and apply approaches to map the structure and dynamics of the human and mouse genomes in space and time with the goal of gaining deeper mechanistic insights into how the nucleus is organized and functions. The project will develop and benchmark experimental and computational approaches for measuring genome conformation and nuclear organization, and investigate how these contribute to gene regulation and other genome functions. Validated experimental technologies will be combined with biophysical approaches to generate quantitative models of spatial genome organization in different biological states, both in cell populations and in single cells.",4664,[28905911]
Is miR-21 related to carcinogenesis?,"Yes. It has been demonstrated in several experimental studies that miR-21 has oncogenic potential,  and is significantly dysregulated in numerous types of cancer. Therefore, miR-21 is closely related to carcinogenesis.",1103,"[19789312 23417858 19435529 22168593 20978195 18591254 18187804 16966691
 23175214 23255093 19748927 19901002 18596939 22387281 23049818 23288924
 23202912 22678116 17587821 22265967 21170291 21350005 23416953 19682430
 22689922 22291592 19473551 17475218 22610076 21494432 22709411 20483747
 23239858 23239859 20007090 20827319 22618808 20952761 21880514 21646541
 18853072 23483606 22860003 21088996 19730150 23212265 20338946 23224068
 20702469 19546886 19906824 21883657 20480266 23335180 18507035 21279518
 22322462 22001440 18451233 22638884 22072622 22747440 20620599 18372920
 20346171 22970173 18089790 23466817 21532496 19737943 19641183 19597153
 20141427 20309880 21081469 21468550 21406606 19175831 20380575 19509156
 22430134 21937590 20633539 16778182 22528454 20221895 22316494 20682703
 23446999 22476768 18719201 22703586 21882851 20693987 23481326 21102586
 18230780 20876285]"
Which disease the skin condition Necrobiosis lipoidica diabeticorum is associated to?,"Necrobiosis lipoidica diabeticorum (NLD) is a rare, granulomatous inflammatory skin disease of unknown origin, sometimes associated with diabetes mellitus.",2025,"[23969033 11259927 12180894 16060710 12183729 27016885 19380665 24575162
 20524475 26975548 18357585 17429587  2102235 23762652 24283101 18092383
  3351015  8733162  7501550 20537071   730866 19715570 25266162 18718195
 23595890  7851128  8261754 18377597]"
List the releases of JASPAR database,"JASPAR, JASPAR CORE, JASPAR FAM, JASPAR phyloFACTS, JASPAR 2008 update, JASPAR 2010, JASPAR 2014.",81,[24194598 18006571 14681366 19906716 16381983]
Which are the synonyms of prostate-specific antigen?,Prostate-specific antigen (PSA) is a 33 kDa single chain glycoprotein belonging to the kallikrein family of serine proteases which is produced by epithelial cells of both normal and malignant prostate tissue. PSA is an important marker for the diagnosis of prostate cancer. PSA is also known as human kallikrein-related peptidase 3 (hK3).,781,[19079621]
Which company produces Glybera?,Glybera is a product of Chiesi Pharma.,3084,[27762892]
Which calcium/calmodulin dependent protein phosphatase is involved in the activation of the family of NFAT transcription factors (Nuclear Factors of Activated T cells)?,The activity of NFAT proteins is tightly regulated by the Ca(2+)/calmodulin-dependent protein phosphatase 2B/calcineurin (CaN).Dephosphorylation of NFAT by CaN is required for NFAT nuclear localization.,1561,"[16260608 14729474 17099778  9374467 18005668 11592964 10593895 17572487
 11559828 16229015  9727000]"
List two chemotherapeutic agents that are used for treatment of Subependymal Giant Cell Astrocytoma,Everolimus and rapamycin are chemotherapeutic agents that are used for treatment of Subependymal Giant Cell Astrocytoma.,538,"[23686401 23689226 21806479 18952591 23231513 24518170 23567018 22000822
 21047224 24667713 24756805 24276039 23325902 24729041 22136276 22262746
 24143074 24293099 23158522 22805244]"
Are there any specific antidotes for dabigatran?,No specific antidote currently exists for dabigatran,1071,"[23460104 21748501 23312927 22008738 20352166 23634730 22353706 23389753
 22308807 20858186 23810130 22615265 22177763 23790307 22669799 23953907
 23657589 24103671 23821689]"
Describe the involvement of conserved noncoding sequences in the regulation of Hox genes.,"Comparisons of noncoding sequences of the elephant shark and human Hox clusters have identified a large number of conserved noncoding elements (CNEs), which represent putative cis-regulatory elements that may be involved in the regulation of Hox genes.  The b-paralogs of the duplicated fugu Hox clusters are virtually devoid of unique ancient CNEs.  Elephant shark and human Hox clusters have lost fewer ancient CNEs. If these ancient CNEs are indeed enhancers directing tissue-specific expression of Hox genes, divergence of their sequences in vertebrate lineages might have led to altered expression patterns and presumably the functions of their associated Hox genes.  When compared, the amphioxus Hox cluster with the human HoxA, HoxB, HoxC, and HoxD clusters were found to have several conserved noncoding regions, both in intergenic and intronic regions. This suggests that the regulation of Hox genes is highly conserved across chordates, consistent with the similar Hox expression patterns in vertebrates and amphioxus.",1440,"[21688387 15867430 15509224 10677514 20616144 12799348 24043829 19805301
 18791732 16636282 14707166]"
